Name," Ingredients",Location Type,Price
,玉米 (https://www.notion.so/2a227a9ed3da816b8d8aecab49ba7d2d?pvs=21),metro,3根3CAD
,玉米 (https://www.notion.so/2a227a9ed3da816b8d8aecab49ba7d2d?pvs=21),IGA,4根9CAD
,蘑菇 (https://www.notion.so/2a227a9ed3da8155bcdcfef64bb8fd14?pvs=21),walmart,2CAD一盒
,蘑菇 (https://www.notion.so/2a227a9ed3da8155bcdcfef64bb8fd14?pvs=21),metro,3CAD一盒
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),T&T,"$7.67/kg = 3.48/lb

0.695kg, 5.33CAD"
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),metro,"$ 8.8/kg

1kg, $9 cad"
,果乾 (https://www.notion.so/2a427a9ed3da80a2b276c5cb6e1629c7?pvs=21),SaveOnFood,3.5CAD
,蝦 (https://www.notion.so/2a227a9ed3da814bb9bed927ef2a987f?pvs=21),SaveOnFood,6CAD一盒
,鷄蛋 (https://www.notion.so/2a227a9ed3da81a483a9daa90039e185?pvs=21),SaveOnFood,3.7CAD/6個
,小番茄 (https://www.notion.so/2a227a9ed3da811c9134f99b56dca3d8?pvs=21),SaveOnFood,6CAD一盒
,牛油果 (https://www.notion.so/2a227a9ed3da81c597c9ffb635609e47?pvs=21),SaveOnFood,5CAD/4個
,椰菜花 (https://www.notion.so/2a227a9ed3da813ab3d2cb8fc3210ccd?pvs=21),WholeFood,5CAD/1個
,橄欖 (https://www.notion.so/2a227a9ed3da8038a068e1e7dc4b7b46?pvs=21),WholeFood,"34.9/kg
5CAD 一盒"
,雞腿肉 (https://www.notion.so/2a527a9ed3da806a8245f3143dff913f?pvs=21),WholeFood,"12CAD/lb

8CAD/ 300g 兩人份量"
,藍莓 (https://www.notion.so/2a227a9ed3da8115bf5bdb8a9cf0dc52?pvs=21),WholeFood,6CAD一盒
,焦糖布丁/ Crème brûlée (https://www.notion.so/Cr-me-br-l-e-2a527a9ed3da80e59c19c0acdca42f30?pvs=21),WholeFood,3.7CAD一個
,俄國餃子 (https://www.notion.so/2a527a9ed3da801f9c49e6eff07fc09d?pvs=21),WholeFood,"15CAD "
,香蕉 (https://www.notion.so/2a227a9ed3da816b8b83ced2889ca82a?pvs=21),metro,"1.8/lb

4條香蕉2cad"
,牛油果 (https://www.notion.so/2a227a9ed3da81c597c9ffb635609e47?pvs=21),metro,2cad 一個
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),IGA,"6CAD/lb 

1.1kg 14.5CAD
大概80港幣，實在太誇張了"
,葡萄 (https://www.notion.so/2a327a9ed3da803e977ff3cef57826f1?pvs=21),SaveOnFood,5.5CAD/lb
,Feta Cheese (https://www.notion.so/Feta-Cheese-2a527a9ed3da809c9ec2d470fa7f20cc?pvs=21),SaveOnFood,9CAD一盒
,橄欖 (https://www.notion.so/2a227a9ed3da8038a068e1e7dc4b7b46?pvs=21),SaveOnFood,"3.49/100g

7.7CAD一盒"
,椰菜花 (https://www.notion.so/2a227a9ed3da813ab3d2cb8fc3210ccd?pvs=21),SaveOnFood,8CAD一個
,玉米 (https://www.notion.so/2a227a9ed3da816b8d8aecab49ba7d2d?pvs=21),SaveOnFood,8CAD/4個
,捲心菜 (https://www.notion.so/2a527a9ed3da80de9c2de88dfb46274f?pvs=21),SaveOnFood,2CAD/lb
,菠菜 (https://www.notion.so/2a227a9ed3da81429829d55c2baf6f58?pvs=21),SaveOnFood,3.5CAD 一綑
,Sushi Roll (https://www.notion.so/Sushi-Roll-2a527a9ed3da80c7aff6f8a8af423a4d?pvs=21),SaveOnFood,9CAD/1盒
,醬油 (https://www.notion.so/2a527a9ed3da80f7a2e8c75c6ed69418?pvs=21),SaveOnFood,4CAD/450ML
,Soft Tofu (https://www.notion.so/Soft-Tofu-2a527a9ed3da805e8551cc7b2022e50d?pvs=21),SaveOnFood,1.8CAD/300g
,Firm Tofu (https://www.notion.so/Firm-Tofu-2a527a9ed3da80fcac6ed8e0641edf33?pvs=21),WholeFood,4CAD/500g
,蝦 (https://www.notion.so/2a227a9ed3da814bb9bed927ef2a987f?pvs=21),WholeFood,"19/lb

"
,金槍魚罐頭/ Rio Mare Tuna (https://www.notion.so/Rio-Mare-Tuna-2a227a9ed3da806c979dc6d015acdd73?pvs=21),walmart,7CAD/ 3x80g
,金槍魚罐頭/ Rio Mare Tuna (https://www.notion.so/Rio-Mare-Tuna-2a227a9ed3da806c979dc6d015acdd73?pvs=21),Costco,18CAD
,蘑菇 (https://www.notion.so/2a227a9ed3da8155bcdcfef64bb8fd14?pvs=21),SaveOnFood,4CAD/盒
,意大利米 (https://www.notion.so/2a227a9ed3da81439facec607995ff53?pvs=21),SaveOnFood,10CAD/包
,四季豆 (https://www.notion.so/2ae27a9ed3da8012821adf5229e55f43?pvs=21),T&T,5CAD/lb
,華生章魚燒 (https://www.notion.so/2ae27a9ed3da80c08936ca5840342479?pvs=21),T&T,5CAD/bag
,蝦 (https://www.notion.so/2a227a9ed3da814bb9bed927ef2a987f?pvs=21),T&T,13CAD/bag
,芒果乾 (https://www.notion.so/2a227a9ed3da8034932bd9e00f6cc147?pvs=21),T&T,8CAD/300g
,日本栗米棒 (https://www.notion.so/2ae27a9ed3da80089af7ea4a4b732a8d?pvs=21),T&T,7CAD/90g
,旺旺小小酥 (https://www.notion.so/2ae27a9ed3da80bf90caed275251d520?pvs=21),T&T,4CAD/180g
,三文魚 (https://www.notion.so/2ae27a9ed3da80e6ba4beab364f8b896?pvs=21),T&T,24CAD/kg; 11CAD/0.5kg
,柿子 (https://www.notion.so/2ae27a9ed3da8009b5d6e519b0ec4a6c?pvs=21),T&T,4.37/kg; 1.5CAD/ 2個
,柚子 (https://www.notion.so/2ae27a9ed3da80059407db07c07d77b7?pvs=21),T&T,2.5CAD/ 1個
,藍莓 (https://www.notion.so/2a227a9ed3da8115bf5bdb8a9cf0dc52?pvs=21),T&T,7CAD/盒
,鮮蝦腸粉 (https://www.notion.so/2a827a9ed3da808d8926d8f19741cd3a?pvs=21),T&T,15CAD
,流沙包 (https://www.notion.so/2a827a9ed3da80218fbcd0cb884f729a?pvs=21),T&T,5CAD
,,T&T,
,Chef Enrick Beef Pot Pie (https://www.notion.so/Chef-Enrick-Beef-Pot-Pie-2ae27a9ed3da80b99cd0eb4dabc62007?pvs=21),SaveOnFood,12CAD/個(330g)